Logradouro; Bairro; Cidade; Base; Tecnologia; CEP; Velocidade 
Rua Vitória do Vale;Jardim Pérola III;São Paulo;Guaianazes;FTTH;08473-866;35 / 50 / 100 / 150 / 300 MB
Travessa Cachoeira de Paulo Afonso;Conjunto Habitacional Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-240;35 / 50 / 100 / 150 / 300 MB
Rua Recife;Jardim Pérola III;São Paulo;Guaianazes;FTTH;08473-864;35 / 50 / 100 / 150 / 300 MB
Rua Atalaia;Jardim Pérola III;São Paulo;Guaianazes;FTTH;08473-870;35 / 50 / 100 / 150 / 300 MB
Rua Valdomiro José Felipe;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-735;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeirinha;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-745;35 / 50 / 100 / 150 / 300 MB
Rua Lajedo;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-720;35 / 50 / 100 / 150 / 300 MB
Rua Umuarama;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-730;35 / 50 / 100 / 150 / 300 MB
Rua das Rosas;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-750;35 / 50 / 100 / 150 / 300 MB
Rua Eugênia Brandão;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-340;35 / 50 / 100 / 150 / 300 MB
Rua Jaime Ovale;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-390;35 / 50 / 100 / 150 / 300 MB
Rua Sílvio Túlio Cardoso;Jardim Pérola II;São Paulo;Guaianazes;FTTH;08474-490;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Abelim;Jardim Pérola I;São Paulo;Guaianazes;FTTH;08474-330;35 / 50 / 100 / 150 / 300 MB
Rua José Barreto Filho;Jardim Pérola II;São Paulo;Guaianazes;FTTH;08474-400;35 / 50 / 100 / 150 / 300 MB
Rua das Orquídeas;Jardim Pérola II;São Paulo;Guaianazes;FTTH;08473-806;35 / 50 / 100 / 150 / 300 MB
Rua Arne Ragnar Enge;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08476-010;35 / 50 / 100 / 150 / 300 MB
Rua André Régio;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-310;35 / 50 / 100 / 150 / 300 MB
Rua Faustino Raineri;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-390;35 / 50 / 100 / 150 / 300 MB
Rua Cláudio Leguine;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-380;35 / 50 / 100 / 150 / 300 MB
Rua Belarmino Alves;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-330;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Salvador;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-320;35 / 50 / 100 / 150 / 300 MB
Rua Nestor Ferreira da Rocha;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-400;35 / 50 / 100 / 150 / 300 MB
Rua Rio Bahia;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-500;35 / 50 / 100 / 150 / 300 MB
Rua Doutor Luiz Branco Ribeiro;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-420;35 / 50 / 100 / 150 / 300 MB
Rua Antenor Domingues;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08473-340;35 / 50 / 100 / 150 / 300 MB
Rua Vander Moreira;Jardim Perola II;São Paulo;Guaianazes;FTTH;08474-470;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Medeiros;Jardim Vila Carrão;São Paulo;Mauá;FTTC;08340-510;8 / 12 / 20 / 35 MB
Rua Jurema;Jardim Vitória;São Paulo;Guaianazes;FTTH;08473-740;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira das Sete Ilhas;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-160;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira São Domingos;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-170;35 / 50 / 100 / 150 / 300 MB
Rua Estado do Espírito Santo;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-173;35 / 50 / 100 / 150 / 300 MB
Rua Gregório Bogossian;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-174;35 / 50 / 100 / 150 / 300 MB
Rua Alphonse Joailler;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-175;35 / 50 / 100 / 150 / 300 MB
Rua Santa Hugo Della;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-180;35 / 50 / 100 / 150 / 300 MB
Rua Dom Luís de Vila Flôr;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-190;35 / 50 / 100 / 150 / 300 MB
Rua Estado do Paraná;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-195;35 / 50 / 100 / 150 / 300 MB
Rua Sonata ao Luar;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-200;35 / 50 / 100 / 150 / 300 MB
Rua Barão Teixeira de Camargo;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-210;35 / 50 / 100 / 150 / 300 MB
Rua Jacques Kurkdjibachian;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-250;35 / 50 / 100 / 150 / 300 MB
Rua Anders Meceni;Sitio Conceição;São Paulo;Guaianazes;FTTH;08473-260;35 / 50 / 100 / 150 / 300 MB
Rua União;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-425;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Ribalta;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-430;35 / 50 / 100 / 150 / 300 MB
Rua Maranhão;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-435;35 / 50 / 100 / 150 / 300 MB
Travessa Francys Cleiton;Barro Branco II;São Paulo;Guaianazes;FTTH;08473-525;35 / 50 / 100 / 150 / 300 MB
Rua José Pereira de Jesus;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-685;35 / 50 / 100 / 150 / 300 MB
Rua Três Irmãos;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-690;35 / 50 / 100 / 150 / 300 MB
Rua Praia de Murubira;Jardim Perola II;São Paulo;Guaianazes;FTTH;08473-802;35 / 50 / 100 / 150 / 300 MB
Rua da tabua;Jardim Perola II;São Paulo;Guaianazes;FTTH;08473-808;35 / 50 / 100 / 150 / 300 MB
rua dos trilhos;Jadim Perola II;São Paulo;Guaianazes;FTTH;08473-868;35 / 50 / 100 / 150 / 300 MB
Rua Leopoldo Gotuzzo;Jardim Perola II;São Paulo;Guaianazes;FTTH;08474-405;35 / 50 / 100 / 150 / 300 MB
Rua Raul Allier;Jardim Perola II;São Paulo;Guaianazes;FTTH;08474-440;35 / 50 / 100 / 150 / 300 MB
Rua Praia de Iracema;jardim Perola II;São Paulo;Guaianazes;FTTH;08474-510;35 / 50 / 100 / 150 / 300 MB
Rua Praia de Amaralina;Jardim Perola III;São Paulo;Guaianazes;FTTH;08474-520;35 / 50 / 100 / 150 / 300 MB
Rua Universo;Santa Etelvina III;São Paulo;Guaianazes;FTTH;08485-436;35 / 50 / 100 / 150 / 300 MB
Rua das Palmas;Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-560;35 / 50 / 100 / 150 / 300 MB
Rua Dona Eloá do Valle Quadros;Vila Marilena;São Paulo;Guaianazes;FTTH;08485-130;35 / 50 / 100 / 150 / 300 MB
Rua do Carinho;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-270;35 / 50 / 100 / 150 / 300 MB
Rua do Suspiro;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-230;35 / 50 / 100 / 150 / 300 MB
Rua do Pensamento;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-260;35 / 50 / 100 / 150 / 300 MB
Rua da Visão;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-250;35 / 50 / 100 / 150 / 300 MB
Rua do Ar;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-240;35 / 50 / 100 / 150 / 300 MB
Rua Nascer do Sol ;Vila Marilena;São Paulo;Guaianazes;FTTH;08485-020;35 / 50 / 100 / 150 / 300 MB
Rua da Ema;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-420;35 / 50 / 100 / 150 / 300 MB
Rua Abelheira;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-410;35 / 50 / 100 / 150 / 300 MB
Rua Dom Marcos Barbosa;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-200;35 / 50 / 100 / 150 / 300 MB
Rua Brício de Abreu;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-441;35 / 50 / 100 / 150 / 300 MB
Rua da Onça;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-210;35 / 50 / 100 / 150 / 300 MB
Rua Baleia;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08485-190;35 / 50 / 100 / 150 / 300 MB
Rua Mico Leão Dourado;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-180;35 / 50 / 100 / 150 / 300 MB
Rua Lobo-Guará;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-170;35 / 50 / 100 / 150 / 300 MB
Rua do Musgo;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-160;35 / 50 / 100 / 150 / 300 MB
Rua Acerola;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-150;35 / 50 / 100 / 150 / 300 MB
Rua Fruta do Conde;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-110;35 / 50 / 100 / 150 / 300 MB
Rua Fruta Pão;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-100;35 / 50 / 100 / 150 / 300 MB
Rua Helicônia;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-080;35 / 50 / 100 / 150 / 300 MB
Rua Pau Formiga;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-060;35 / 50 / 100 / 150 / 300 MB
Rua Sálvia;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-040;35 / 50 / 100 / 150 / 300 MB
Rua Estrelizia;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-050;35 / 50 / 100 / 150 / 300 MB
Rua Pau Jacare;Conj. Hab. Santa Etelvina II;São Paulo;Guaianazes;FTTH;08485-070;35 / 50 / 100 / 150 / 300 MB
Rua Um Amazonas;Jardim Vitoria;São Paulo;Guaianazes;FTTH;08473-790;35 / 50 / 100 / 150 / 300 MB
Rua José Eduardo de Almeida;Jardim Premiano  ;São Paulo;Guaianazes;FTTH;08371-720;35 / 50 / 100 / 150 / 300 MB
Estrada Saturnino Pereira ;Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08485-570;35 / 50 / 100 / 150 / 300 MB
Rua Eufrazio Martins Guedes ;Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08485-575;35 / 50 / 100 / 150 / 300 MB
Rua Reginaldo Barker;Jardim Perola II;São Paulo;Guaianazes;FTTH;08474-445;35 / 50 / 100 / 150 / 300 MB
Rua Jonas Barbosa Filho   ;Jardim Premiano  ;São Paulo;Guaianazes;FTTH;08371-700;35 / 50 / 100 / 150 / 300 MB
Estrada do Palanque ;Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08485-520;35 / 50 / 100 / 150 / 300 MB
Rua Lago Michigan ;Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08485-522;35 / 50 / 100 / 150 / 300 MB
Rua da Ligação ;Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08485-540;35 / 50 / 100 / 150 / 300 MB
Estrada Vovó Carolina (atende as Ruas: Um, Dois, Três, Quatro e Cinco);Conjunto Habitacional Santa Etelvina II  ;São Paulo;Guaianazes;FTTH;08473-370;35 / 50 / 100 / 150 / 300 MB
R. Nova Marilu;Jardim Marilu;São Paulo;Guaianazes;FTTH;08371-436;35 / 50 / 100 / 150 / 300 MB
Rua Érico Semer  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-400;35 / 50 / 100 / 150 / 300 MB
Rua Felipe Angeli  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-390;35 / 50 / 100 / 150 / 300 MB
Rua Clotilde Gianoli  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-380;35 / 50 / 100 / 150 / 300 MB
Rua Gaspar Becerra  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-370;35 / 50 / 100 / 150 / 300 MB
Rua Emílio Retrosi  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-360;35 / 50 / 100 / 150 / 300 MB
Rua Genaro Olavide  ;Jardim Marilu  ;São Paulo;Guaianazes;FTTH;08371-350;35 / 50 / 100 / 150 / 300 MB
Estrada Aricanduva;Vila Gil;São Paulo;Guaianazes;FTTH;08370-160;35 / 50 / 100 / 150 / 300 MB
Rua Ilha Caviana;Jardim São Benedito;São Paulo;Guaianazes;FTTH;08371-448;35 / 50 / 100 / 150 / 300 MB
Rua Ilha Cumprida;Jardim São Benedito;São Paulo;Guaianazes;FTTH;08371-450;35 / 50 / 100 / 150 / 300 MB
Rua Ilha de Maracá;Jardim São Benedito;São Paulo;Guaianazes;FTTH;08371-455;35 / 50 / 100 / 150 / 300 MB
Rua Ilha Mexicana;Jardim Perola III;São Paulo;Guaianazes;FTTH;08473-801;35 / 50 / 100 / 150 / 300 MB
Rua Guilherme Todaro,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-580;35 / 50 / 100 / 150 / 300 MB
Rua Cyrilo da Silva Pinto,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-590;35 / 50 / 100 / 150 / 300 MB
Rua dos Marceneiros,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-490;35 / 50 / 100 / 150 / 300 MB
Rua Amilcar Castelan,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-410;35 / 50 / 100 / 150 / 300 MB
Rua João da Costa Pimenta;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-390;35 / 50 / 100 / 150 / 300 MB
Rua Vicente Guglielmi,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-380;35 / 50 / 100 / 150 / 300 MB
Rua Sebastião Batista,;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-330;35 / 50 / 100 / 150 / 300 MB
Rua Remo Forli;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-350;35 / 50 / 100 / 150 / 300 MB
Rua Aquitânia;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08470-320;35 / 50 / 100 / 150 / 300 MB
Av. dos Metalúrgicos;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-000;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Cinati;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-300;35 / 50 / 100 / 150 / 300 MB
Rua Giacomo Fuoca;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-290;35 / 50 / 100 / 150 / 300 MB
Rua Mestre Rufino;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-280;35 / 50 / 100 / 150 / 300 MB
Rua Olegário Victor;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-270;35 / 50 / 100 / 150 / 300 MB
Rua Corolampio Trilhas;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-260;35 / 50 / 100 / 150 / 300 MB
Rua Presidente Oscár Benavides;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-250;35 / 50 / 100 / 150 / 300 MB
Rua Júlio Hugo Biocati;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-240;35 / 50 / 100 / 150 / 300 MB
Rua Manoel Campos;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-230;35 / 50 / 100 / 150 / 300 MB
Rua João Porta;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-550;35 / 50 / 100 / 150 / 300 MB
Rua José Pinto;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-520;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Giannullo;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-540;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Venosa;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-560;35 / 50 / 100 / 150 / 300 MB
Rua José Amato;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-570;35 / 50 / 100 / 150 / 300 MB
Rua Etore Tommasini;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-581;35 / 50 / 100 / 150 / 300 MB
Rua Gigi Damiani;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-690;35 / 50 / 100 / 150 / 300 MB
Rua do Flúor;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-530;35 / 50 / 100 / 150 / 300 MB
Rua José Sanches Duran;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-680;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Araújo;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-670;35 / 50 / 100 / 150 / 300 MB
Rua Paulo Biocati;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-630;35 / 50 / 100 / 150 / 300 MB
Rua Lauro Porta;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-610;35 / 50 / 100 / 150 / 300 MB
Rua Ulisses Martins;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-590;35 / 50 / 100 / 150 / 300 MB
Rua Elvira Boni;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-600;35 / 50 / 100 / 150 / 300 MB
Rua José Sarmento Marques ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-620;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Vassimon;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-220;35 / 50 / 100 / 150 / 300 MB
Rua Pedro Iovine;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-210;35 / 50 / 100 / 150 / 300 MB
Rua Paulo Badi;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-080;35 / 50 / 100 / 150 / 300 MB
Rua Milton Vargas da Silva;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-070;35 / 50 / 100 / 150 / 300 MB
Rua Lourenço Benacci;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-060;35 / 50 / 100 / 150 / 300 MB
Rua Emílio Angelino;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-050;35 / 50 / 100 / 150 / 300 MB
Rua Primo Arcari;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-490;35 / 50 / 100 / 150 / 300 MB
Rua Luís Veronezi;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-480;35 / 50 / 100 / 150 / 300 MB
Rua Mauro de Almeida;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-430;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Múrcia;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-420;35 / 50 / 100 / 150 / 300 MB
Rua Aldo Lombardi    ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-130;35 / 50 / 100 / 150 / 300 MB
Rua Palmiro Grassini ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-140;35 / 50 / 100 / 150 / 300 MB
Rua Teresa Maria Carini ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-150;35 / 50 / 100 / 150 / 300 MB
Rua Augusto Altro ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-160;35 / 50 / 100 / 150 / 300 MB
Rua Giúlio Soretti ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-170;35 / 50 / 100 / 150 / 300 MB
Rua Carlos Delocco ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-180;35 / 50 / 100 / 150 / 300 MB
Rua Fernando Frejeiro ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-470;35 / 50 / 100 / 150 / 300 MB
Rua Edgard Leuenroth ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-450;35 / 50 / 100 / 150 / 300 MB
Rua João Badúe ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-440;35 / 50 / 100 / 150 / 300 MB
Rua Sétimo Ranieri ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-410;35 / 50 / 100 / 150 / 300 MB
Rua Antônio Vieira Costa ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-400;35 / 50 / 100 / 150 / 300 MB
Rua dos Pedreiros ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-330;35 / 50 / 100 / 150 / 300 MB
Rua José Martinez ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-120;35 / 50 / 100 / 150 / 300 MB
Rua Mário Sobral ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-750;35 / 50 / 100 / 150 / 300 MB
Rua Francisco Pawlik ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-110;35 / 50 / 100 / 150 / 300 MB
Rua Carlos Laino Júnior ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-020;35 / 50 / 100 / 150 / 300 MB
Rua Neno Vasco ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-030;35 / 50 / 100 / 150 / 300 MB
Rua Salvador Gilardi ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08471-040;35 / 50 / 100 / 150 / 300 MB
Rua Alcebíades Bertolotti ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-720;35 / 50 / 100 / 150 / 300 MB
Rua Silvério Fontes ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-740;35 / 50 / 100 / 150 / 300 MB
Rua Júlio Guzzo ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-730;35 / 50 / 100 / 150 / 300 MB
Rua Edmundo Orioli ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-600;35 / 50 / 100 / 150 / 300 MB
Rua Gonçalves Nina ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-610;35 / 50 / 100 / 150 / 300 MB
Rua Eduardo Moura ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-620;35 / 50 / 100 / 150 / 300 MB
Rua Fernando Bondad ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-660;35 / 50 / 100 / 150 / 300 MB
Rua Carlos Dias ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-630;35 / 50 / 100 / 150 / 300 MB
Rua José Franco Passos;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-670;35 / 50 / 100 / 150 / 300 MB
Rua Enrico Burzarcchiello;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-680;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Perdigão ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-690;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Rios ;Cidade Tiradentes  ;São Paulo;Guaianazes;FTTH;08470-700;35 / 50 / 100 / 150 / 300 MB
Rua Edson Danillo Dotto;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08485-280;35 / 50 / 100 / 150 / 300 MB
Rua Manoel Oliveira Ramos;Vila Iolanda II;São Paulo;Guaianazes;FTTH;08473-630;35 / 50 / 100 / 150 / 300 MB
Rua Cabral de Melo ;Parque São Rafael ;São Paulo;Mauá;FTTH;08311-090;35 / 50 / 100 / 150 / 300 MB
Rua Jua Mirim;Chacara Santa Etelvina;São Paulo;Guaianazes;FTTH;08490-800;35 / 50 / 100 / 150 / 300 MB
Rua Flamboyant;Jardim Perola II;São Paulo;Guaianazes;FTTH;08473-805;35 / 50 / 100 / 150 / 300 MB
Rua Filiberto Laurencio;Santa Etelvina III;São Paulo;Guaianazes;FTTH;08485-444;35 / 50 / 100 / 150 / 300 MB
Rua das Palmeiras;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08473-755;35 / 50 / 100 / 150 / 300 MB
Rua Cachoeira da Boa Esperança;Barro Branco;São Paulo;Guaianazes;FTTH;08475-150;35 / 50 / 100 / 150 / 300 MB
Rua das Folhas;Jardim Perola II;São Paulo;Guaianazes;FTTH;08473-804;35 / 50 / 100 / 150 / 300 MB
Rua São Lucas;Jardim São Francisco;São Paulo;Mauá;FTTH;08390-266;35 / 50 / 100 / 150 / 300 MB
Rua Achilles Stefani;Cidade Tiradentes;São Paulo;Guaianazes;FTTH;08471-190;35 / 50 / 100 / 150 / 300 MB
Rua Manuel Raposo;Vila Marilena;São Paulo;Guaianazes;FTTH;08411-360;35 / 50 / 100 / 150 / 300 MB
Rua Rio Santa Maria;Conjunto Habitacional Inacio Monteiro;São Paulo;Guaianazes;FTTH;08472-705;35 / 50 / 100 / 150 / 300 MB
Rua Vicente Celestino;Jardim Nova Harmonia;São Paulo;Mauá;FTTC;08342-010;8 / 12 / 20 / 35 MB
Travessa Nicola Sala;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-190;35 / 50 / 100 / 150 / 300 MB
Travessa Augusto Baron ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-170;35 / 50 / 100 / 150 / 300 MB
Travessa Mário Vitali ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-150;35 / 50 / 100 / 150 / 300 MB
Rua Dom Benito Feijó ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-090;35 / 50 / 100 / 150 / 300 MB
Rua Vitória Régia;Jd. Rodolfo Pirani;São Paulo;Mauá;FTTH;08395-345;35 / 50 / 100 / 150 / 300 MB
Rua Carmem Tortola ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-330;35 / 50 / 100 / 150 / 300 MB
Travessa Batista Fazzini ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-250;35 / 50 / 100 / 150 / 300 MB
Travessa Teófilo Vargas ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-230;35 / 50 / 100 / 150 / 300 MB
Travessa Domênico Zanata ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-210;35 / 50 / 100 / 150 / 300 MB
Travessa Antônio Juvêncio ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-240;35 / 50 / 100 / 150 / 300 MB
Travessa Antônio Duni ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-220;35 / 50 / 100 / 150 / 300 MB
Travessa Estéfano Pavesi ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-200;35 / 50 / 100 / 150 / 300 MB
Rua Cruz Gomes ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-260;35 / 50 / 100 / 150 / 300 MB
Travessa Alfredo Bastos ;Conjunto Promorar Rio Claro;São Paulo;Mauá;FTTH;08395-310;35 / 50 / 100 / 150 / 300 MB
